full_name,affilitation,code,family_name,wage,declaration_web
ABATE Rosa Silvana,UpC-CAL-Alt-PC-AI-Pr.SMART-IdV,32576,Abate,112595,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Abate_2021.pdf?
ACCOTO Rossella,M5S,32577,Accoto,100021,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Accoto_2021.pdf?
AGOSTINELLI Donatella,M5S,29248,Agostinelli,99918,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Agostinelli_2021.pdf?
AIMI Enrico,FIBP-UDC,32741,Aimi,150263,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Aimi_2021.pdf?
AIROLA Alberto,M5S,29034,Airola,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Aimi_2021.pdf?
ALBERTI CASELLATI Maria Elisabetta,FIBP-UDC,32,Alberti,274475,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Alberti_2021.pdf?
ALDERISI Francesca,FIBP-UDC,32742,Alderisi,102801,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Alderisi_2021.pdf?
ALESSANDRINI Valeria,L-SP-PSd'Az,35119,Alessandrini,91137,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Alessandrini_2021.pdf?
ALFIERI Alessandro,PD,32578,Alfieri,101107,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Alfieri_2021.pdf?
ANASTASI Cristiano,M5S,32579,Anastasi,100745,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Anastasi_2021.pdf?
ANGRISANI Luisa,UpC-CAL-Alt-PC-AI-Pr.SMART-IdV,32580,Angrisani,101105,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Angrisani_2021.pdf?
ARRIGONI Paolo,L-SP-PSd'Az,29039,Arrigoni,138015,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Arrigoni_2021.pdf?
ASTORRE Bruno,PD,29040,Astorre,98275,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Astorre_2021.pdf?
AUDDINO Giuseppe,M5S,32581,Auddino,97796,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Auddino_2021.pdf?
AUGUSSORI Luigi,L-SP-PSd'Az,19244,Augussori,100337,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Augussori_2021.pdf?
BAGNAI Alberto,L-SP-PSd'Az,32582,Bagnai,110121,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bagnai_2021.pdf?
BALBONI Alberto,FdI,17542,Balboni,116310,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Balboni_2021.pdf?
BARACHINI Alberto,FIBP-UDC,32583,Barachini,127157,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Barachini_2021.pdf?
BARBARO Claudio,FdI,25565,Barbaro,110919,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Barbaro_2021.pdf?
BARBONI Antonio,FIBP-UDC,32584,Barboni,613137,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Barboni_Antonio_2021.pdf?
BATTISTONI Francesco,FIBP-UDC,24989,Battistoni,103506,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Battistoni_2021.pdf?
BELLANOVA Teresa,IV-PSI,22865,Bellanova,140667,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bellanova_2021.pdf?
BERARDI Roberto,FIBP-UDC,32585,Berardi,99187,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Berardi_2021.pdf?
BERGESIO Giorgio Maria,L-SP-PSd'Az,32586,Bergesio,85338,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bergesio_2021.pdf?
BERNINI Anna Maria,FIBP-UDC,25558,Bernini,131728,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bernini_2021.pdf?
BERTACCO Stefano,,31009,Bertacco,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bertacco_2021.pdf?
BERUTTI Massimo Vittorio,Misto,32587,Berutti,103023,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Berutti_2021.pdf?
BIASOTTI Sandro Mario,Misto,19777,Biasotti,224280,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Biasotti_2021.pdf?
BINETTI Paola,FIBP-UDC,22712,Binetti,148206,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Binetti_2021.pdf?
BINI Caterina,PD,29282,Bini,107298,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/BINI_Caterina_2021.pdf?
BITI Caterina,PD,32588,Biti,105382,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/BITI_Caterina_2021.pdf?
BOCCARDI Michele,FIBP-UDC,31391,Boccardi,53000,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Boccardi_2021.pdf?
BOGO DELEDDA Vittoria Francesca Maria,,32589,Bogo,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bogo_2021.pdf?
BOLDRINI Paola,PD,31143,Boldrini,100145,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Boldrini_2021.pdf?
BONFRISCO Anna Cinzia,,22717,Bonfrisco,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bonfrisco_2021.pdf?
BONGIORNO Giulia,L-SP-PSd'Az,22877,Bongiorno,2402877,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bongiorno_2021.pdf?
BONIFAZI Francesco,IV-PSI,29288,Bonifazi,341649,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bonifazi_2021.pdf?
BONINO Emma,Misto,321,Bonino,122149,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bonino_2021.pdf?
BORGHESI Stefano,L-SP-PSd'Az,29292,Borghesi,115446,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Borghesi_2021.pdf?
BORGONZONI Lucia,L-SP-PSd'Az,32590,Borgonzoni,100025,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Borgonzoni_2021.pdf?
BOSSI Simone,L-SP-PSd'Az,32591,Bossi,102521,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bossi_Simone_2021.pdf?
BOSSI Umberto,L-SP-PSd'Az,356,Bossi,99702,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bossi_Umberto_2021.pdf?
BOTTICI Laura,M5S,29053,Bottici,100510,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bottici_2021.pdf?
BOTTO Elena,Misto,32592,Botto,101107,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Botto_2021.pdf?
BRESSA Gianclaudio,"Aut (SVP-PATT, UV)",4351,Bressa,105625,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bressa_2021.pdf?
BRIZIARELLI Luca,L-SP-PSd'Az,32593,Briziarelli,149334,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Briziarelli_2021.pdf?
BRUZZONE Francesco,L-SP-PSd'Az,32743,Bruzzone,102702,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Bruzzone_2021.pdf?
BUCCARELLA Maurizio,Misto,29055,Buccarella,101444,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Buccarella_2021.pdf?
CALANDRINI Nicola,FdI,34485,Calandrini,154044,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Calandrini_2021.pdf?
